Genre,Year,total_sale
Blues,2014,4413503
Classical,1990,8533000
Classical,1997,50000000
Classical,2009,4060000
Country,1990,18770000
Country,1991,14570000
Country,1992,20974676
Country,1993,10847500
Country,1995,20000000
Country,1997,40000000
Country,1998,24635000
Country,2002,9530000
Country,2005,9335000
Country,2006,7270000
Country,2007,5539000
Country,2008,11901000
Country,2010,15946000
Country,2013,4160000
Country,2015,4147000
Country,2017,3371000
Country,2019,3357000
Country,2021,3461000
EDM,2013,5000000
Hip Hop,1990,18000000
Hip Hop,1996,13860000
Hip Hop,2000,42715000
Hip Hop,2002,31891750
Hip Hop,2003,26767057
Hip Hop,2004,8918504
Hip Hop,2005,28331238
Hip Hop,2006,6428000
Hip Hop,2007,6060563
Hip Hop,2009,7365000
Hip Hop,2010,11328795
Hip Hop,2011,17560000
Hip Hop,2013,10385318
Hip Hop,2014,3230000
Hip Hop,2015,11335000
Hip Hop,2016,13768355
Hip Hop,2017,4070414
Hip Hop,2018,28509615
Hip Hop,2019,6243665
Hip Hop,2020,14483485
Hip Hop,2021,5667481
Jazz,1992,13204140
Pop,1990,83838000
Pop,1991,27000000
Pop,1992,84000000
Pop,1993,67571000
Pop,1994,15000000
Pop,1995,58490000
Pop,1996,76051970
Pop,1997,71000000
Pop,1998,44738067
Pop,1999,128513351
Pop,2000,58215547
Pop,2001,30185329
Pop,2002,45538166
Pop,2003,25218737
Pop,2004,21124158
Pop,2005,27000000
Pop,2006,26004866
Pop,2007,37179803
Pop,2008,42363651
Pop,2009,32859000
Pop,2010,37757395
Pop,2011,69999132
Pop,2012,38634482
Pop,2013,32894508
Pop,2014,46204929
Pop,2015,46916423
Pop,2016,24836790
Pop,2017,28564678
Pop,2018,12280638
Pop,2019,32734383
Pop,2020,22621650
Pop,2021,22808884
R&B,1993,30000000
R&B,1994,28354880
R&B,1995,12000000
R&B,1996,15000000
R&B,1998,35000000
R&B,2001,19235958
R&B,2003,7500000
R&B,2004,20000000
R&B,2006,23290000
R&B,2007,6000000
R&B,2012,4600000
R&B,2015,5299588
R&B,2016,4421666
R&B,2017,6871211
R&B,2020,4402942
Rock,1990,9956520
Rock,1991,160710000
Rock,1992,58675318
Rock,1993,58077328
Rock,1994,99484430
Rock,1995,99178328
Rock,1996,30161530
Rock,1997,12000000
Rock,1998,34885500
Rock,1999,70195000
Rock,2000,84000000
Rock,2001,46729500
Rock,2002,51234696
Rock,2003,36287487
Rock,2004,59374762
Rock,2005,37000000
Rock,2006,19522790
Rock,2007,12315000
Rock,2008,33423057
Rock,2009,17384500
Rock,2011,4590102
Rock,2012,19768347
Rock,2014,6886458
Rock,2015,6000000
Rock,2017,8010478
Rock,2018,2585920
World,1990,15000000
World,1994,14522893
World,1996,11000000
World,1997,24500000
World,2000,12097445
