Year,Album,Artist
1990,The Immaculate Collection,Madonna
1991,Metallica,Metallica
1992,The Bodyguard Soundtrack,Whitney Houston
1993,Music Box,Mariah Carey
1994,Cracked Rear View,Hootie & The Blowfish
1995,Jagged Little Pill,Alanis Morissette
1996,Falling Into You,Celine Dion
1997,Come On Over,Shania Twain
1998,Believe,Cher
1999,Milennium,Backstreet Boys
2000,The Marshall Mathers LP,Eminem
2001,M!ssundaztood,P!NK
2002,Come Away With Me,Norah Jones
2003,Fallen,Evanescence
2004,Confessions,Usher
2005,All The Right Reasons,Nickelback
2006,Back To Black,Amy Winehouse
2007,Good Girl Gone Bad,Rihanna
2008,The Fame,Lady Gaga
2009,I Dreamed A Dream,Susan Boyle
2010,Teenage Dream,Katy Perry
2011,21,Adele
2012,Night Visions,Imagine Dragons
2013,Frozen,Movie Soundtrack
2014,1989,Taylor Swift
2015,25,Adele
2016,Views,Drake
2017,Divide,Ed Sheeran
2018,Beerbongs & Bentleys,Post Malone
2019,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2020,Map Of The Soul: 7,BTS
2021,30,Adele
